title,url
Online Safety Amendment (Social Media Minimum Age) Act 2024,https://www.legislation.gov.au/C2024A00119/asmade/text
eSafety Commissioner — Social media age restrictions,https://www.esafety.gov.au/
Online Safety Act 2023 (UK),https://www.legislation.gov.uk/ukpga/2023/50/contents
Ofcom — Protection of Children Codes of Practice,https://www.ofcom.org.uk/online-safety/
유럽연합 디지털서비스법(DSA) 원문,https://eur-lex.europa.eu/eli/reg/2022/2065/oj
유럽의회 결의 — 미성년자 온라인 보호 (2025),https://www.europarl.europa.eu/
OECD — Children in the Digital Environment,https://www.oecd.org/digital/
유니세프 — Children and Digital Marketing,https://www.unicef.org/
국회 의안정보시스템,https://likms.assembly.go.kr/bill/main.do
방송통신위원회 — 청소년 보호 정책,https://www.kcc.go.kr/
한국지능정보사회진흥원 — 스마트폰 과의존 실태조사,https://www.nia.or.kr/
"Pew Research Center — Teens, Social Media and Technology",https://www.pewresearch.org/
